fault_type,fault_start,breach_time,run_id,provenance_file
bgp_route_flap,2026-07-05 02:20:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_0,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 02:45:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_1,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 06:30:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_2,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 09:55:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_3,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 10:55:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_4,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 11:50:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_5,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 15:20:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_6,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 17:35:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_7,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 21:30:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_8,bgp_routing_labels.csv
bgp_route_flap,2026-07-05 23:00:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_9,bgp_routing_labels.csv
bgp_route_flap,2026-07-06 02:10:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_10,bgp_routing_labels.csv
bgp_route_flap,2026-07-06 03:05:00+00:00,2026-07-08 05:30:00+00:00,public_bgp_routing_labels.csv_11,bgp_routing_labels.csv
bgp_route_flap,2026-07-06 04:45:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_12,bgp_routing_labels.csv
bgp_route_flap,2026-07-06 05:05:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_13,bgp_routing_labels.csv
bgp_route_flap,2026-07-06 06:00:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_14,bgp_routing_labels.csv
bgp_route_flap,2026-07-06 07:50:00+00:00,2026-07-13 00:00:00+00:00,public_bgp_routing_labels.csv_15,bgp_routing_labels.csv
