timestamp,value
2026-07-13T14:00:00+09:00,26989044254
2026-07-13T14:01:00+09:00,26989044254
2026-07-13T14:02:00+09:00,26989044254
2026-07-13T14:03:00+09:00,26989044254
2026-07-13T14:04:00+09:00,26989044254
2026-07-13T14:05:00+09:00,26989044254
2026-07-13T14:06:00+09:00,26989044254
2026-07-13T14:07:00+09:00,26989044254
2026-07-13T14:08:00+09:00,26989044254
2026-07-13T14:09:00+09:00,26989044254
2026-07-13T14:10:00+09:00,26989044253
2026-07-13T14:11:00+09:00,26989044253
2026-07-13T14:12:00+09:00,26989044253
2026-07-13T14:13:00+09:00,26989044253
2026-07-13T14:14:00+09:00,26989044253
