ts_unix,latency_gre_ms,latency_eth0_ms,jitter_gre_ms,loss_gre_pct,util_gre_mbps,net_bytes_recv_eth0,net_bytes_sent_eth0,cpu_usage_system,cpu_usage_user,mem_used_percent,bgp_flap_count,netflow_bulk_bytes,netflow_voice_bytes,ipsec_rekey_events_1h,ipsec_rekey_anomaly,htb_payload_ceil_mbps,path_asymmetry
1703740000,0.26171411270756284,0.24948070913425485,0.05042919415255922,0.0,0.15268066900799757,1170608674.7948415,597152165.7997682,12.26143502514311,14.098375692387002,8.928476678419406,7135.0,0.0,0.0,49.0,1.0,34.0,0.012233403573307988
1703740001,0.30477338251040337,0.28882546765061545,0.036550422949840525,0.0,0.15823600902429338,1170846885.9245849,597336872.3259494,9.97441900460592,9.956907705211107,8.85034500462326,7135.0,0.0,0.0,47.0,1.0,34.0,0.015947914859787915
1703740002,0.27903149300401575,0.27814819478307856,0.03814330793970876,0.0,0.0743292675832671,1171059570.4551845,597458264.4815332,15.15396854365922,13.030945485973135,8.696639403003458,7135.0,0.0,0.0,44.0,1.0,34.0,0.0008832982209371898
1703740003,0.2637525037308784,0.339958511868754,0.03228666764785898,0.0,0.1656713886364204,1171293437.4287434,597581360.2069752,14.697107901310263,11.174662791570128,8.829561772686594,7135.0,0.0,0.0,43.0,1.0,34.0,0.07620600813787559
1703740004,0.34369017241092636,0.28697612972215775,0.030299483696025968,0.0,0.18649250076472926,1171377599.7091076,597730105.2014438,12.148400347160761,12.250311845119349,8.668527129458921,7135.0,0.0,0.0,44.0,1.0,34.0,0.05671404268876862
1703740005,0.24636035583073485,0.32273135161496525,0.003590816930631631,0.0,0.19085931121545804,1171517686.8407426,597798771.8453372,14.348958029298393,13.62966723061923,9.065888002328702,7135.0,0.0,0.0,53.0,1.0,34.0,0.0763709957842304
1703740006,0.2558716748314681,0.35276786734689397,0.05028662961994451,0.0,0.1534508161728681,1171670260.4959924,597905393.5061401,17.127895159641028,12.62548550530816,8.84361487047293,7135.0,0.0,0.0,50.0,1.0,34.0,0.09689619251542586
1703740007,0.2844682108490855,0.3398857089850152,0.0865736479177405,0.0,0.23018070620791325,1171895864.1921902,598059000.3511149,8.357553734457689,15.120612004305539,8.752987306212171,7135.0,0.0,0.0,44.0,1.0,34.0,0.055417498135929666
1703740008,0.27413816844024447,0.2975825211410485,0.03642666121993529,0.0,0.1601603115391446,1172017488.7069948,598169285.297158,15.644073245698882,16.47721639718889,8.878193439392389,7135.0,0.0,0.0,50.0,1.0,34.0,0.023444352700804028
1703740009,0.2426150670512812,0.27930695290209984,0.03538632520906787,0.0,0.20990332700804565,1172148067.7708037,598311587.0876026,15.073327359850156,18.005972919822312,8.513509266691175,7135.0,0.0,0.0,43.0,1.0,34.0,0.036691885850818645
1703740010,0.25966079600183806,0.3832491949753295,0.06108085112704577,0.0,0.10281384367245772,1172276722.9159114,598450023.808155,13.390026531073024,13.826710743487368,8.87261857592823,7135.0,0.0,0.0,40.0,1.0,34.0,0.12358839897349144
1703740011,0.2565533298246545,0.2725314981004334,0.025340318665789438,0.0,0.18158177782235357,1172497827.7477293,598600346.2732078,11.471311202855954,14.176695010241708,8.909129272892997,7135.0,0.0,0.0,43.0,1.0,34.0,0.015978168275778915
1703740012,0.2510643662575241,0.29648713286968553,0.0420235306061179,0.0,0.2054389962684904,1172597412.0893974,598754236.8287915,12.320555892245201,6.862628297120785,8.817870504553273,7135.0,0.0,0.0,53.0,1.0,34.0,0.045422766612161436
