timestamp,host,metric,value
2026-07-17T20:32:13.184774+00:00,station2,bgp_update_rate,6.4620
2026-07-17T20:33:56.287174+00:00,station2,bgp_update_rate,10.7595
2026-07-17T20:54:03.955848+00:00,station1,bgp_update_rate,6.8977
2026-07-17T20:56:35.714047+00:00,station1,bgp_update_rate,10.0068
2026-07-17T20:59:07.533310+00:00,station1,bgp_update_rate,15.4702
2026-07-17T21:01:39.365088+00:00,station1,bgp_update_rate,6.8061
2026-07-17T21:04:12.127527+00:00,station1,bgp_update_rate,49.3483
2026-07-17T21:04:29.492882+00:00,station1,bgp_update_rate,31.0633
2026-07-17T21:04:46.863096+00:00,station1,bgp_update_rate,30.0425
2026-07-17T21:05:04.249121+00:00,station1,bgp_update_rate,38.4567
2026-07-17T21:05:22.835110+00:00,station1,bgp_update_rate,41.3461
2026-07-17T21:05:50.428016+00:00,station1,bgp_update_rate,45.0584
2026-07-17T21:06:07.884347+00:00,station1,bgp_update_rate,28.6975
2026-07-17T22:02:50.461287+00:00,station2,bgp_update_rate,10.1753
2026-07-17T22:05:22.250952+00:00,station2,bgp_update_rate,4.7273
2026-07-17T22:23:26.574757+00:00,station1,bgp_update_rate,13.3418
2026-07-17T22:25:44.772848+00:00,station1,bgp_update_rate,15.7026
2026-07-17T22:28:10.009897+00:00,station1,bgp_update_rate,15.8774
2026-07-17T22:30:29.125403+00:00,station1,bgp_update_rate,6.8163
2026-07-17T22:32:47.331361+00:00,station1,bgp_update_rate,51.1019
2026-07-17T22:33:07.056772+00:00,station1,bgp_update_rate,53.9854
2026-07-17T22:33:26.763352+00:00,station1,bgp_update_rate,22.7746
2026-07-17T22:33:46.450325+00:00,station1,bgp_update_rate,31.4538
2026-07-17T22:34:07.209600+00:00,station1,bgp_update_rate,31.4398
2026-07-17T22:34:26.884829+00:00,station1,bgp_update_rate,26.6453
2026-07-17T22:34:46.626165+00:00,station1,bgp_update_rate,42.8363
2026-07-17T23:33:11.419100+00:00,station2,bgp_update_rate,12.3070
2026-07-17T23:35:18.133200+00:00,station2,bgp_update_rate,12.9868
2026-07-17T23:51:57.585387+00:00,station1,bgp_update_rate,16.6716
2026-07-17T23:55:27.463242+00:00,station1,bgp_update_rate,8.6687
2026-07-17T23:59:15.754396+00:00,station1,bgp_update_rate,6.2026
2026-07-18T00:02:45.624833+00:00,station1,bgp_update_rate,34.1845
2026-07-18T00:03:04.100271+00:00,station1,bgp_update_rate,29.0009
2026-07-18T00:03:22.540489+00:00,station1,bgp_update_rate,53.6699
2026-07-18T00:03:48.138990+00:00,station1,bgp_update_rate,30.1925
2026-07-18T00:04:06.579148+00:00,station1,bgp_update_rate,35.1578
2026-07-18T00:04:44.548286+00:00,station1,bgp_update_rate,28.4373
2026-07-18T00:05:03.969031+00:00,station1,bgp_update_rate,40.4792
