timestamp,host,metric,value
2026-07-21T04:06:30+00:00,station1,throughput_in_bps,442007.41818181815
2026-07-21T04:06:45+00:00,station1,throughput_in_bps,553733.3636363636
2026-07-21T04:07:00+00:00,station1,throughput_in_bps,432223.21412337956
2026-07-21T04:07:15+00:00,station1,throughput_in_bps,520639.8727272727
2026-07-21T04:07:30+00:00,station1,throughput_in_bps,297826.8
2026-07-21T04:07:45+00:00,station1,throughput_in_bps,317235.2
2026-07-21T04:08:00+00:00,station1,throughput_in_bps,291743.67272727273
2026-07-21T04:08:15+00:00,station1,throughput_in_bps,463027.47222777765
2026-07-21T04:08:30+00:00,station1,throughput_in_bps,554300.1763604298
2026-07-21T04:08:45+00:00,station1,throughput_in_bps,552426.2649770004
2026-07-21T04:09:00+00:00,station1,throughput_in_bps,442221.2545454545
2026-07-21T04:09:15+00:00,station1,throughput_in_bps,554502.4545454545
2026-07-21T04:09:30+00:00,station1,throughput_in_bps,462334.0727272727
2026-07-21T04:09:45+00:00,station1,throughput_in_bps,654458.9022416959
2026-07-21T04:10:00+00:00,station1,throughput_in_bps,431572.3740431645
2026-07-21T04:10:15+00:00,station1,throughput_in_bps,444601.18181818177
2026-07-21T04:10:30+00:00,station1,throughput_in_bps,333165.25154088106
2026-07-21T04:10:45+00:00,station1,throughput_in_bps,459658.2607588953
2026-07-21T04:11:00+00:00,station1,throughput_in_bps,558116.4363636363
2026-07-21T04:11:15+00:00,station1,throughput_in_bps,546623.8568805339
2026-07-21T04:11:30+00:00,station1,throughput_in_bps,332538.5636363636
2026-07-21T04:11:45+00:00,station1,throughput_in_bps,444258.0727272727
2026-07-21T04:12:00+00:00,station1,throughput_in_bps,344350.8899514572
2026-07-21T04:12:15+00:00,station1,throughput_in_bps,567645.8909090909
2026-07-21T04:12:30+00:00,station1,throughput_in_bps,550504.5818181818
2026-07-21T04:12:45+00:00,station1,throughput_in_bps,444362.8545454545
2026-07-21T04:13:00+00:00,station1,throughput_in_bps,332846.9272727273
2026-07-21T04:13:15+00:00,station1,throughput_in_bps,444458.4477210334
2026-07-21T04:13:30+00:00,station1,throughput_in_bps,452300.0909090909
2026-07-21T04:13:45+00:00,station1,throughput_in_bps,665756.2
2026-07-21T04:14:00+00:00,station1,throughput_in_bps,442475.48226395884
2026-07-21T04:14:15+00:00,station1,throughput_in_bps,443896.98369120556
2026-07-21T04:14:30+00:00,station1,throughput_in_bps,332308.0
