ts_unix,latency_gre_ms,latency_eth0_ms,jitter_gre_ms,loss_gre_pct,util_gre_mbps,net_bytes_recv_eth0,net_bytes_sent_eth0,cpu_usage_system,cpu_usage_user,mem_used_percent,bgp_flap_count,netflow_bulk_bytes,netflow_voice_bytes,ipsec_rekey_events_1h,ipsec_rekey_anomaly,htb_payload_ceil_mbps,path_asymmetry
1702590000,0.2748366053649209,0.32314711924632594,0.05613128560676359,0.0,0.16631031027140003,1983292663.2239616,968422648.044615,9.796236697602168,10.776052946785603,8.996360674656831,7121.0,0.0,0.0,41.0,1.0,34.0,0.04831051388140506
1702590001,0.2924372615927847,0.3505052031390264,0.046801035999241326,0.0,0.12819946070235322,1983437642.81279,968494185.5237932,15.769814439830906,11.716434472780577,8.741178536228972,7121.0,0.0,0.0,43.0,1.0,34.0,0.058067941546241675
1702590002,0.24705961446775254,0.29890751749966243,0.06412652803981726,0.0,0.09826284059841676,1983653625.9122362,968650497.8940924,17.310319736804693,9.383623766644131,8.609678551092223,7121.0,0.0,0.0,44.0,1.0,34.0,0.05184790303190989
1702590003,0.29109811267380054,0.30006373990159185,0.03401238076972964,0.0,0.30815680843952936,1983866797.5937574,968770429.9563618,14.913335254922956,8.137150384687436,8.657460416127584,7121.0,0.0,0.0,47.0,1.0,34.0,0.008965627227791317
1702590004,0.26085613920197415,0.2835073578153866,0.016264165356045863,0.0,0.2073982481709823,1984106033.2882445,968880653.1426204,17.725545417274922,11.216936194915423,8.732931408656306,7121.0,0.0,0.0,51.0,1.0,34.0,0.02265121861341246
1702590005,0.32500312078760346,0.3240979528086597,0.032150065631249364,0.0,0.12319972132534882,1984274244.1989315,968966903.8543595,11.430574006330808,11.17293506896008,8.433217256878548,7121.0,0.0,0.0,50.0,1.0,34.0,0.0009051679789437439
1702590006,0.2653694952030231,0.26093816751167326,0.004952151745070153,0.0,0.25839805530793514,1984403129.409466,969047944.8439915,17.01437480612113,8.405422102518616,8.660181631696311,7121.0,0.0,0.0,41.0,1.0,34.0,0.004431327691349851
1702590007,0.302238876153316,0.2918326728437847,0.04647056785097829,0.0,0.13135482173715918,1984492320.1056905,969115968.3704207,14.647751573079125,9.661086220932333,8.681378330996859,7121.0,0.0,0.0,43.0,1.0,34.0,0.010406203309531292
1702590008,0.3065400052600908,0.2393912358352189,0.014233285502320961,0.0,0.13595633151865802,1984706011.8672378,969299914.4377346,22.022332959418513,8.444170269756906,9.075607023274637,7121.0,0.0,0.0,41.0,1.0,34.0,0.06714876942487188
1702590009,0.2466433537911216,0.2947586279879067,0.0008562045447755434,0.0,0.1820013323766949,1984899210.4718,969354551.9928899,14.063365031833108,15.623812499655028,8.519930724526201,7121.0,0.0,0.0,49.0,1.0,34.0,0.0481152741967851
1702590010,0.24195807522838808,0.2938477560334812,0.044456556219412066,0.0,0.22735243598488153,1985038570.3589,969440853.311212,14.68539709922249,15.626199315990457,8.651989291099941,7121.0,0.0,0.0,48.0,1.0,34.0,0.0518896808050931
1702590011,0.2731026326942517,0.2654898882877124,0.03935256076738358,0.0,0.3381568762378998,1985165539.3209639,969536970.5499704,9.144752079228656,12.337887678780467,8.784975830190216,7121.0,0.0,0.0,51.0,1.0,34.0,0.007612744406539307
1702590012,0.282159704074945,0.2768911950550048,0.04315242312403475,0.0,0.1508693089191603,1985274337.7206156,969731744.8153158,20.209943382585507,13.493731754614405,8.93753665114133,7121.0,0.0,0.0,44.0,1.0,34.0,0.005268509019940193
1702590013,0.3416310845151145,0.32885625412454833,0.008124619616178233,0.0,0.3130848253494508,1985424483.8972962,969841884.7792444,11.131902187702359,10.521830703698939,8.795402385827861,7121.0,0.0,0.0,45.0,1.0,34.0,0.01277483039056615
1702590014,0.28112017131052075,0.2632987807705644,0.05517750689754851,0.0,0.3122351992916853,1985519361.7413979,969909438.739235,16.1674884995611,12.095529557653357,8.517408597450734,7121.0,0.0,0.0,46.0,1.0,34.0,0.01782139053995635
1702590015,0.2880809912097058,0.31601921637117764,0.029298440864299592,0.0,0.24687548135402065,1985720121.0479681,970108882.0059776,11.820007221286915,15.842237869160485,8.678632102243602,7121.0,0.0,0.0,43.0,1.0,34.0,0.02793822516147182
