ts_unix,latency_gre_ms,latency_eth0_ms,jitter_gre_ms,loss_gre_pct,util_gre_mbps,net_bytes_recv_eth0,net_bytes_sent_eth0,cpu_usage_system,cpu_usage_user,mem_used_percent,bgp_flap_count,netflow_bulk_bytes,netflow_voice_bytes,ipsec_rekey_events_1h,ipsec_rekey_anomaly,htb_payload_ceil_mbps,path_asymmetry
1703750000,0.31292352916760263,0.3164111714636621,0.030848640011166096,0.0,0.23719173001006605,1687332296.1459932,864158151.2318172,14.674195845788958,8.321083735653568,8.94789840577606,6459.0,0.0,0.0,43.0,1.0,34.0,0.0034876422960594677
1703750001,0.3147251802098483,0.24828774168883777,0.02198658752436822,0.0,0.265702997801612,1687505699.9394758,864241715.5673536,14.958172890066976,12.891924890983063,8.94995310050125,6459.0,0.0,0.0,46.0,1.0,34.0,0.06643743852101053
1703750002,0.22643689692229563,0.30519576136894966,0.058254775319133215,0.0,0.19252517174024195,1687690826.2560387,864401717.7041688,13.232943214974068,15.054705877066702,8.648279245015202,6459.0,0.0,0.0,51.0,1.0,34.0,0.07875886444665403
1703750003,0.2882555011588594,0.3553813229080602,0.03379456795491158,0.0,0.19223851430922917,1687855491.3621442,864577335.0336038,16.197310934331934,12.740783402668745,8.667508041536522,6459.0,0.0,0.0,40.0,1.0,34.0,0.06712582174920079
1703750004,0.30227287448928075,0.3344793243485934,0.055304679966993855,0.0,0.1818328762061949,1688007270.724977,864736252.6185359,14.391496288150536,12.95915929970158,8.579117553770585,6459.0,0.0,0.0,41.0,1.0,34.0,0.03220644985931265
1703750005,0.3153549261077749,0.25119390397465463,0.06520353046177241,0.0,0.20387765662027035,1688182677.0739534,864790265.1039785,7.825510898192849,16.377451133318672,8.817280168211676,6459.0,0.0,0.0,51.0,1.0,34.0,0.06416102213312025
1703750006,0.19437236413865866,0.2992545245328446,0.04138673564538911,0.0,0.128108008869476,1688390079.2129025,864867808.6708584,17.25773938992706,9.000177618619006,8.706754051273437,6459.0,0.0,0.0,53.0,1.0,34.0,0.10488216039418596
1703750007,0.23023678337774517,0.32198855229748297,0.048227454266176105,0.0,0.14193348886815677,1688541779.7090137,865056079.0330619,17.579079866873197,13.020716878641398,8.616910479363414,6459.0,0.0,0.0,48.0,1.0,34.0,0.0917517689197378
1703750008,0.2633970511925736,0.3565351217383912,0.04962321094046417,0.0,0.14933095319662346,1688779591.7565699,865140084.842541,13.11944854398989,16.055651048729025,8.904651716263798,6459.0,0.0,0.0,47.0,1.0,34.0,0.09313807054581758
1703750009,0.26547273587437137,0.27926268889461375,0.039109929723192195,0.0,0.191127856992484,1689011781.0038154,865289064.9371716,20.025592188397646,9.928213908273106,8.700406449030279,6459.0,0.0,0.0,43.0,1.0,34.0,0.013789953020242385
1703750010,0.2874041956896977,0.21743921625723867,0.02479397277648693,0.0,0.14483828810292024,1689114153.5878217,865478662.1086094,17.13422855656907,12.828516167562356,8.676279707116029,6459.0,0.0,0.0,41.0,1.0,34.0,0.06996497943245905
1703750011,0.26897191689939415,0.24338987858527084,0.058552740052366214,0.0,0.20760105337656104,1689359273.1465807,865568340.5238719,14.437074315632465,11.274017465885166,8.933858342007184,6459.0,0.0,0.0,49.0,1.0,34.0,0.025582038314123312
1703750012,0.2896387041310771,0.256101117786929,0.06417423286758081,0.0,0.2019727948171685,1689580948.426877,865747617.734708,15.391420563592675,15.478329080384775,8.978822515971206,6459.0,0.0,0.0,43.0,1.0,34.0,0.03353758634414811
1703750013,0.28360923202357213,0.33893748944613084,0.04889796601803691,0.0,0.17013351712260757,1689738354.6424084,865836503.3701522,18.30863711522117,4.048181410821432,8.880280032258954,6459.0,0.0,0.0,51.0,1.0,34.0,0.0553282574225587
1703750014,0.35021229837633994,0.27937930316651777,0.06441433675282732,0.0,0.19103026035525553,1689820215.0785627,866009641.7732369,10.233722668590678,15.894171053927742,8.650525210289425,6459.0,0.0,0.0,46.0,1.0,34.0,0.07083299520982217
1703750015,0.28040866589502056,0.30216445941066095,0.02150722782644438,0.0,0.167496584611744,1689912494.9897828,866082561.016793,14.170294628209284,11.507658938024584,8.570966973054542,6459.0,0.0,0.0,49.0,1.0,34.0,0.021755793515640387
1703750016,0.34325053337504524,0.23763714986762793,0.01935985229723098,0.0,0.27757471489978697,1690052973.7987983,866244687.7026787,9.97375415818259,14.478872324308432,8.74674416680632,6459.0,0.0,0.0,52.0,1.0,34.0,0.10561338350741731
1703750017,0.25730258297997927,0.2856143024159835,0.041375028326886595,0.0,0.1774696716515378,1690274450.5661182,866368170.7860098,8.54573935545252,14.76768459790093,8.8212655936371,6459.0,0.0,0.0,54.0,1.0,34.0,0.028311719436004246
1703750018,0.3046686939323583,0.2469805907152411,0.05160682587224978,0.0,0.2082264287846769,1690438239.3407764,866471483.9603835,11.84432329144108,16.679431501870102,8.892008780258685,6459.0,0.0,0.0,53.0,1.0,34.0,0.057688103217117204
